epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,116.37,2.43554,1.4296,1.74367,0.63162,0.68504,0.62819,0.22775,2.15416,1.36058,1.78143,0.001406,0.001406,0.001406
62,118.185,2.2907,1.27706,1.68206,0.61674,0.68241,0.61281,0.22428,2.1302,1.34968,1.77151,0.0013961,0.0013961,0.0013961
63,119.947,2.34725,1.27849,1.6591,0.59945,0.67454,0.57063,0.21299,2.13564,1.31639,1.7769,0.0013862,0.0013862,0.0013862
64,121.894,2.28495,1.27348,1.73723,0.57211,0.67848,0.53852,0.20445,2.15578,1.27217,1.78477,0.0013763,0.0013763,0.0013763
65,123.654,2.32055,1.29792,1.76067,0.5978,0.69226,0.56217,0.20996,2.14653,1.2568,1.78359,0.0013664,0.0013664,0.0013664
66,125.391,2.37722,1.31779,1.73056,0.61963,0.70144,0.58853,0.21588,2.15445,1.26328,1.79582,0.0013565,0.0013565,0.0013565
67,127.191,2.35656,1.33394,1.72772,0.67768,0.71048,0.63282,0.23702,2.16236,1.21428,1.80627,0.0013466,0.0013466,0.0013466
68,128.969,2.39306,1.28406,1.73934,0.66677,0.68832,0.63384,0.23907,2.18818,1.19436,1.82206,0.0013367,0.0013367,0.0013367
69,130.75,2.36659,1.28457,1.70308,0.6615,0.67323,0.63362,0.23905,2.20944,1.17632,1.83777,0.0013268,0.0013268,0.0013268
70,132.554,2.31948,1.4396,1.75136,0.6189,0.6811,0.61116,0.22676,2.23294,1.166,1.8703,0.0013169,0.0013169,0.0013169
71,134.394,2.52638,1.57962,1.76544,0.61198,0.66646,0.61,0.2251,2.2002,1.18969,1.83453,0.001307,0.001307,0.001307
72,136.931,2.32373,1.4019,1.80226,0.57915,0.66273,0.59993,0.22397,2.18674,1.20228,1.80948,0.0012971,0.0012971,0.0012971
73,138.68,2.25377,1.25174,1.64119,0.61948,0.70013,0.6244,0.23749,2.20428,1.17672,1.81843,0.0012872,0.0012872,0.0012872
74,140.443,2.21745,1.21303,1.63963,0.61934,0.6752,0.61565,0.23691,2.22756,1.19419,1.84188,0.0012773,0.0012773,0.0012773
75,142.218,2.30241,1.24458,1.69674,0.6129,0.67717,0.62394,0.24113,2.21804,1.20514,1.83347,0.0012674,0.0012674,0.0012674
76,143.995,2.37778,1.41404,1.87573,0.64766,0.68147,0.65467,0.2479,2.16373,1.22622,1.78378,0.0012575,0.0012575,0.0012575
77,145.831,2.2063,1.28067,1.68275,0.6582,0.68963,0.65739,0.23848,2.18311,1.222,1.79886,0.0012476,0.0012476,0.0012476
78,147.735,2.20774,1.26424,1.66286,0.64844,0.67651,0.63237,0.23242,2.19452,1.21746,1.81135,0.0012377,0.0012377,0.0012377
79,149.465,2.21719,1.22879,1.6554,0.61822,0.66515,0.58352,0.21792,2.1869,1.22725,1.83035,0.0012278,0.0012278,0.0012278
80,151.303,2.22339,1.25328,1.62516,0.6378,0.66786,0.60847,0.22632,2.16468,1.22487,1.80832,0.0012179,0.0012179,0.0012179
81,153.125,2.16286,1.29398,1.66969,0.66567,0.67651,0.63239,0.23444,2.14046,1.21902,1.78622,0.001208,0.001208,0.001208
82,154.857,2.59637,3.90737,2.0408,0.64725,0.67979,0.63512,0.23719,2.13842,1.21402,1.76926,0.0011981,0.0011981,0.0011981
83,156.662,2.23125,1.28882,1.68547,0.61128,0.65748,0.59977,0.22713,2.1792,1.21517,1.79576,0.0011882,0.0011882,0.0011882
84,158.633,2.28152,1.32302,1.674,0.56791,0.6218,0.54399,0.20705,2.27182,1.23033,1.84906,0.0011783,0.0011783,0.0011783
85,160.864,2.35093,1.27902,1.61553,0.62929,0.65223,0.62042,0.23341,2.17828,1.21107,1.78476,0.0011684,0.0011684,0.0011684
86,162.841,2.23741,1.30992,1.69706,0.65117,0.6706,0.64989,0.24419,2.12578,1.22678,1.75418,0.0011585,0.0011585,0.0011585
