                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 2.3091,                 1.1778,                 1.8173,                0.59752,                0.63808,                0.53284,                0.20281,                 2.2249,                  1.166,                 1.9397,              0.0011684,              0.0011684,              0.0011684
                     65,                 2.2968,                 1.1876,                 1.7507,                0.64513,                0.66535,                0.60298,                0.23164,                 2.1809,                 1.1374,                 1.8997,              0.0011552,              0.0011552,              0.0011552
                     66,                  2.303,                 1.1638,                 1.8004,                0.71412,                0.71063,                0.68289,                0.25557,                  2.131,                 1.1329,                 1.8639,               0.001142,               0.001142,               0.001142
                     67,                  2.292,                 1.1789,                 1.7909,                0.71724,                0.71457,                0.68665,                0.24961,                 2.1582,                 1.1571,                 1.8731,              0.0011288,              0.0011288,              0.0011288
                     68,                 2.2744,                  1.163,                 1.7652,                0.72714,                0.69948,                0.66801,                0.24198,                 2.1686,                 1.1488,                  1.878,              0.0011156,              0.0011156,              0.0011156
                     69,                 2.3071,                 1.1691,                 1.7803,                  0.725,                0.70407,                0.65966,                0.23721,                  2.184,                 1.1254,                 1.8863,              0.0011024,              0.0011024,              0.0011024
                     70,                 2.3248,                 1.1935,                 1.7738,                0.72385,                0.70932,                0.67103,                0.23995,                 2.1875,                 1.1273,                 1.8866,              0.0010892,              0.0010892,              0.0010892
                     71,                 2.2516,                 1.1269,                 1.7195,                0.71918,                  0.729,                0.68959,                0.25111,                 2.1799,                 1.1551,                 1.8715,               0.001076,               0.001076,               0.001076
                     72,                  2.272,                 1.1282,                 1.7161,                0.72737,                0.72178,                0.70428,                0.26064,                 2.1628,                 1.1701,                 1.8621,              0.0010628,              0.0010628,              0.0010628
                     73,                 2.2644,                 1.1619,                 1.7549,                0.73434,                0.71194,                0.69645,                 0.2577,                 2.1686,                 1.1543,                 1.8761,              0.0010496,              0.0010496,              0.0010496
                     74,                  2.236,                 1.1461,                 1.7362,                0.69026,                0.65617,                0.62606,                0.23521,                 2.2232,                 1.1631,                 1.9248,              0.0010364,              0.0010364,              0.0010364
                     75,                 2.2304,                 1.1082,                 1.7407,                0.68715,                0.63255,                 0.5895,                0.21971,                 2.2479,                 1.1281,                 1.9384,              0.0010232,              0.0010232,              0.0010232
                     76,                 2.2545,                 1.1263,                 1.7144,                0.71934,                0.67454,                0.61825,                0.23174,                 2.2069,                 1.0842,                 1.8937,                0.00101,                0.00101,                0.00101
                     77,                 2.2621,                  1.144,                 1.7623,                0.75987,                0.71391,                0.66839,                0.24996,                 2.1913,                 1.0513,                 1.8711,              0.0009968,              0.0009968,              0.0009968
                     78,                 2.2385,                 1.1184,                 1.7218,                0.76481,                0.74081,                0.70339,                0.26661,                 2.1534,                 1.0602,                 1.8438,              0.0009836,              0.0009836,              0.0009836
                     79,                 2.2695,                 1.1324,                 1.7299,                0.76523,                0.74645,                0.71238,                0.26824,                 2.1423,                 1.0675,                  1.827,              0.0009704,              0.0009704,              0.0009704
                     80,                 2.2307,                 1.1447,                 1.7175,                 0.7606,                0.72966,                0.69784,                0.26095,                 2.1572,                  1.073,                 1.8359,              0.0009572,              0.0009572,              0.0009572
                     81,                 2.2202,                 1.1493,                 1.7109,                0.74258,                0.70793,                0.67851,                0.25849,                 2.1461,                 1.0996,                 1.8352,               0.000944,               0.000944,               0.000944
                     82,                   2.22,                 1.1247,                  1.666,                0.74089,                0.70276,                0.70704,                0.25518,                  2.177,                 1.1771,                 1.8483,              0.0009308,              0.0009308,              0.0009308
                     83,                 2.2418,                 1.1208,                 1.6696,                0.73219,                0.68528,                0.70248,                0.24994,                  2.197,                 1.2074,                 1.8527,              0.0009176,              0.0009176,              0.0009176
                     84,                 2.1906,                 1.1199,                 1.6713,                0.74746,                0.70472,                0.71259,                0.25814,                 2.1568,                 1.1525,                 1.8281,              0.0009044,              0.0009044,              0.0009044
                     85,                 2.2075,                 1.1363,                  1.661,                0.74557,                0.72966,                0.70856,                0.26777,                 2.1174,                 1.1123,                 1.8078,              0.0008912,              0.0008912,              0.0008912
                     86,                 2.1923,                 1.1348,                 1.6998,                0.75123,                0.72375,                0.70249,                 0.2739,                 2.1436,                 1.0731,                 1.8131,               0.000878,               0.000878,               0.000878
                     87,                 2.2512,                 1.1354,                 1.7527,                0.71484,                 0.6647,                0.64016,                0.24916,                   2.23,                 1.0918,                 1.8592,              0.0008648,              0.0008648,              0.0008648
                     88,                 2.2353,                 1.1148,                  1.705,                0.74048,                0.67585,                0.66013,                0.25728,                 2.2051,                 1.0865,                 1.8505,              0.0008516,              0.0008516,              0.0008516
                     89,                  2.241,                 1.1095,                 1.6554,                0.77359,                0.70866,                0.70381,                0.27566,                 2.1136,                 1.0842,                 1.8056,              0.0008384,              0.0008384,              0.0008384
                     90,                 2.2056,                 1.1123,                 1.6937,                0.78286,                0.74081,                0.73354,                0.28042,                 2.0817,                 1.1347,                 1.7819,              0.0008252,              0.0008252,              0.0008252
                     91,                 2.1536,                 1.1245,                 1.6497,                0.75027,                0.74738,                0.71949,                0.27345,                 2.0643,                  1.174,                 1.7679,               0.000812,               0.000812,               0.000812
                     92,                  2.155,                  1.153,                 1.6904,                0.73777,                0.73031,                0.68986,                0.26163,                 2.0972,                 1.1623,                 1.7825,              0.0007988,              0.0007988,              0.0007988
                     93,                 2.1675,                 1.1129,                 1.6399,                0.73787,                0.70741,                0.64062,                0.24378,                 2.1518,                 1.1067,                 1.8188,              0.0007856,              0.0007856,              0.0007856
                     94,                 2.1642,                 1.1057,                 1.6409,                0.77869,                0.71803,                0.66216,                0.24814,                 2.1566,                 1.0843,                 1.8265,              0.0007724,              0.0007724,              0.0007724
                     95,                 2.2543,                 1.1042,                 1.6251,                0.77938,                0.71785,                0.69711,                0.25883,                 2.1685,                 1.1164,                 1.8234,              0.0007592,              0.0007592,              0.0007592
                     96,                 2.2304,                 1.1046,                  1.658,                 0.7988,                0.74213,                 0.7456,                0.27804,                 2.1268,                 1.1036,                 1.7959,               0.000746,               0.000746,               0.000746
                     97,                 2.1826,                 1.0875,                 1.5973,                0.78319,                0.73478,                0.73476,                0.28673,                 2.0856,                 1.0787,                 1.7758,              0.0007328,              0.0007328,              0.0007328
                     98,                 2.2189,                 1.1589,                 1.7144,                0.69077,                0.69478,                0.65469,                0.25854,                 2.1287,                 1.0905,                 1.8041,              0.0007196,              0.0007196,              0.0007196
                     99,                  2.203,                 1.1252,                 1.6045,                0.64585,                0.67717,                0.63063,                0.24414,                 2.1679,                 1.1184,                 1.8259,              0.0007064,              0.0007064,              0.0007064
                    100,                 2.1654,                 1.1483,                 1.6679,                0.66646,                0.68504,                0.66672,                  0.265,                 2.1238,                 1.0913,                 1.7941,              0.0006932,              0.0006932,              0.0006932
                    101,                 2.1548,                 1.1607,                 1.6453,                0.74712,                0.71457,                0.72653,                0.28756,                 2.0841,                 1.0687,                 1.7615,                0.00068,                0.00068,                0.00068
                    102,                  2.155,                  1.116,                 1.6468,                0.77529,                 0.7336,                0.74317,                0.29429,                 2.0897,                  1.063,                 1.7549,              0.0006668,              0.0006668,              0.0006668
                    103,                  2.114,                 1.0931,                 1.6197,                0.77471,                0.73622,                0.74105,                0.28559,                 2.1088,                 1.0622,                 1.7563,              0.0006536,              0.0006536,              0.0006536
                    104,                 2.1345,                 1.0992,                 1.6419,                0.72669,                0.69262,                0.68131,                 0.2669,                 2.1541,                 1.0814,                 1.7752,              0.0006404,              0.0006404,              0.0006404
                    105,                 2.2123,                 1.1195,                 1.6287,                0.74288,                0.71063,                0.69752,                0.27426,                 2.1298,                 1.0979,                 1.7617,              0.0006272,              0.0006272,              0.0006272
                    106,                 2.1495,                 1.0978,                 1.6548,                0.76464,                0.73031,                0.72558,                0.29189,                 2.0904,                 1.0867,                  1.749,               0.000614,               0.000614,               0.000614
                    107,                 2.1283,                 1.1217,                 1.6654,                0.78535,                0.74213,                0.76072,                0.30618,                  2.062,                 1.0852,                 1.7411,              0.0006008,              0.0006008,              0.0006008
                    108,                 2.1356,                 1.0843,                 1.5733,                  0.801,                0.73622,                0.77769,                0.30935,                 2.0625,                 1.0999,                 1.7418,              0.0005876,              0.0005876,              0.0005876
                    109,                 2.1233,                 1.0921,                  1.622,                0.81058,                0.74969,                 0.7821,                0.31397,                 2.0528,                 1.0877,                 1.7341,              0.0005744,              0.0005744,              0.0005744
                    110,                 2.1368,                 1.1058,                 1.6158,                0.80881,                0.74738,                0.76282,                0.30738,                 2.0528,                 1.0805,                  1.728,              0.0005612,              0.0005612,              0.0005612
                    111,                 2.1441,                 1.1193,                 1.6151,                0.79122,                0.73228,                0.74108,                0.29062,                 2.0724,                 1.0845,                 1.7341,               0.000548,               0.000548,               0.000548
                    112,                 2.1545,                 1.1186,                 1.6629,                0.77294,                 0.7304,                0.71834,                0.27835,                 2.0909,                 1.0844,                 1.7437,              0.0005348,              0.0005348,              0.0005348
                    113,                 2.1386,                 1.1004,                 1.6323,                0.77377,                0.72937,                0.71846,                0.27915,                 2.0993,                 1.0785,                  1.749,              0.0005216,              0.0005216,              0.0005216
                    114,                 2.2176,                 1.1086,                 1.5908,                0.80314,                0.74418,                0.74374,                0.28462,                 2.0772,                 1.0799,                 1.7424,              0.0005084,              0.0005084,              0.0005084
                    115,                 2.1561,                 1.0944,                 1.5936,                 0.8043,                0.74803,                0.75255,                0.28355,                 2.0591,                 1.0999,                 1.7384,              0.0004952,              0.0004952,              0.0004952
                    116,                 2.1501,                 1.0868,                 1.6099,                0.79871,                0.74016,                0.76302,                0.29169,                 2.0439,                 1.0995,                 1.7304,               0.000482,               0.000482,               0.000482
                    117,                 2.1435,                 1.1147,                  1.679,                0.79904,                0.73576,                0.77161,                0.30589,                 2.0242,                 1.0837,                 1.7185,              0.0004688,              0.0004688,              0.0004688
                    118,                 2.1646,                 1.1012,                 1.6096,                0.76209,                0.71588,                0.74084,                0.30201,                 2.0305,                 1.0814,                 1.7194,              0.0004556,              0.0004556,              0.0004556
                    119,                 2.1144,                 1.0901,                  1.562,                0.76259,                 0.7124,                0.72863,                0.29851,                 2.0385,                 1.0857,                 1.7242,              0.0004424,              0.0004424,              0.0004424
                    120,                 2.1137,                 1.0806,                 1.5565,                 0.7627,                0.71982,                0.73666,                 0.2953,                 2.0436,                 1.0853,                 1.7221,              0.0004292,              0.0004292,              0.0004292
                    121,                 2.1523,                 1.1076,                 1.6128,                0.78263,                0.73708,                0.75197,                0.30053,                 2.0433,                  1.085,                 1.7172,               0.000416,               0.000416,               0.000416
                    122,                 2.1248,                 1.0994,                 1.6117,                0.78858,                0.73753,                0.76308,                0.30681,                 2.0437,                 1.0754,                 1.7128,              0.0004028,              0.0004028,              0.0004028
                    123,                 2.1411,                 1.1059,                 1.5858,                0.79877,                0.74213,                0.77455,                0.31563,                 2.0302,                 1.0659,                 1.7034,              0.0003896,              0.0003896,              0.0003896
                    124,                 2.0992,                 1.0777,                 1.5769,                0.79005,                0.73425,                0.76937,                0.31655,                 2.0298,                 1.0639,                 1.7005,              0.0003764,              0.0003764,              0.0003764
                    125,                 2.0993,                 1.0928,                 1.6124,                0.75771,                0.69685,                0.72622,                0.29874,                 2.0698,                 1.0699,                 1.7192,              0.0003632,              0.0003632,              0.0003632
                    126,                 2.1854,                 1.1032,                 1.5977,                0.74908,                 0.6856,                0.71937,                0.29556,                  2.078,                 1.0756,                 1.7222,                0.00035,                0.00035,                0.00035
                    127,                 2.1144,                 1.0607,                  1.545,                0.77103,                0.70079,                0.74556,                0.31131,                 2.0456,                 1.0557,                 1.7066,              0.0003368,              0.0003368,              0.0003368
                    128,                 2.1081,                 1.0847,                 1.5943,                0.79147,                0.72722,                0.76771,                0.31636,                 2.0283,                 1.0441,                 1.7047,              0.0003236,              0.0003236,              0.0003236
                    129,                 2.1193,                 1.0904,                 1.6217,                 0.7907,                0.72441,                0.76158,                0.31129,                 2.0307,                 1.0556,                 1.7113,              0.0003104,              0.0003104,              0.0003104
                    130,                 2.1191,                 1.0973,                 1.6229,                 0.7947,                0.73294,                0.75708,                0.30684,                 2.0351,                 1.0597,                 1.7135,              0.0002972,              0.0002972,              0.0002972
                    131,                 2.1505,                 1.0827,                  1.599,                0.80791,                0.73687,                0.76658,                  0.309,                 2.0326,                 1.0613,                 1.7122,               0.000284,               0.000284,               0.000284
                    132,                 2.0911,                 1.0656,                 1.5764,                0.81372,                0.74738,                0.77771,                0.31666,                 2.0219,                 1.0644,                  1.707,              0.0002708,              0.0002708,              0.0002708
                    133,                 2.1086,                 1.0698,                 1.5738,                0.81638,                0.74147,                0.77911,                0.31852,                 2.0147,                  1.065,                 1.7017,              0.0002576,              0.0002576,              0.0002576
                    134,                 2.1065,                 1.0848,                 1.5983,                0.81797,                0.75328,                0.78945,                0.32388,                 2.0117,                 1.0528,                 1.6987,              0.0002444,              0.0002444,              0.0002444
                    135,                 2.1283,                 1.0844,                 1.6087,                   0.81,                   0.75,                0.78813,                0.32523,                 2.0139,                 1.0414,                 1.6984,              0.0002312,              0.0002312,              0.0002312
